Security Segment,Panel,CR,Gap Score,W0,W-1,W-2,W-3,W-4,W-5,M0,M-1,M-2,M-3,M-4,M-5,Q0,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7
,Panel 5,,39.7%,60.2%,61.0%,65.5%,62.8%,58.6%,61.8%,52.0%,61.2%,96.5%,11.4%,12.4%,30.5%,52.0%,55.8%,16.1%,6.8%,3.3%,2.4%,2.9%,3.9%
,Panel 5,,40.0%,62.5%,63.0%,68.7%,65.4%,60.3%,63.0%,56.3%,63.6%,97.4%,12.9%,13.9%,32.0%,56.3%,57.4%,17.4%,7.7%,3.9%,2.9%,3.3%,4.2%
,Panel 5,,2.8%,-1.4%,-3.0%,-11.0%,-10.3%,-11.4%,-4.6%,5.8%,-9.4%,-8.2%,-6.0%,-10.1%,-3.8%,5.8%,-7.9%,-5.1%,-3.6%,-2.9%,-0.6%,-4.6%,-1.1%
,Panel 5,,2.8%,-1.4%,-3.0%,-11.0%,-10.2%,-11.4%,-4.7%,5.8%,-9.4%,-8.2%,-6.0%,-10.1%,-3.8%,5.8%,-7.9%,-5.1%,-3.6%,-2.9%,-0.6%,-4.6%,-1.1%
,Panel 5,,1.8%,-23.1%,-17.9%,-28.7%,-26.4%,-33.6%,-24.8%,-23.7%,-25.9%,-26.8%,-23.3%,-21.8%,-22.2%,-25.9%,-24.1%,-22.0%,-18.8%,-15.8%,-13.5%,-6.6%,-5.0%
,Panel 3,0.45,1.7%,-24.9%,-16.1%,-27.3%,-26.0%,-28.8%,-24.5%,-23.6%,-22.7%,-27.1%,-27.9%,-11.7%,-22.1%,-24.4%,-22.7%,-18.8%,-14.6%,-12.5%,-9.5%,-4.0%,-4.0%
,Panel 5,0.53,7.2%,-0.1%,-10.1%,-9.8%,-8.7%,6.6%,-5.3%,49.4%,-3.3%,0.3%,-5.7%,3.3%,5.6%,49.4%,-2.9%,4.3%,18.3%,16.2%,15.2%,11.5%,-0.4%
,Panel 5,,29.0%,-61.1%,22.0%,58.4%,0.9%,-11.2%,-82.1%,,5.9%,-45.0%,-60.3%,-37.4%,31.0%,,-44.3%,-15.3%,-16.6%,9.2%,13.5%,88.3%,143.6%
,Panel 5,,3.3%,-33.0%,-30.8%,2.6%,5.4%,14.0%,3.8%,138.0%,-4.7%,15.8%,-12.5%,-15.4%,3.9%,138.0%,-1.4%,1.9%,15.1%,2.9%,18.5%,7.9%,-3.0%
,Panel 5,,6.9%,3.2%,-5.2%,-11.9%,-10.8%,5.2%,-3.7%,35.7%,-2.7%,-2.7%,-3.2%,8.5%,3.5%,35.7%,-2.9%,4.0%,17.7%,17.4%,12.5%,10.3%,-0.7%
,Panel 5,,28.8%,563.8%,-27.3%,-78.4%,-54.0%,-12.6%,-88.7%,120.9%,-17.1%,27.6%,29.4%,20.5%,104.7%,120.9%,14.1%,42.9%,-5.6%,36.5%,6.6%,-9.5%,20.8%
,Panel 3,,5.1%,-8.0%,1.8%,-7.2%,-17.6%,-5.9%,16.0%,-3.6%,-3.4%,-17.3%,-15.8%,14.0%,-16.8%,-3.6%,-11.5%,-6.4%,-1.9%,-12.5%,11.6%,23.7%,20.3%
,Panel 5,,0.0%,6.9%,2.1%,4.0%,4.3%,1.5%,6.0%,-0.6%,3.7%,-4.0%,-8.9%,-9.6%,-7.0%,-0.6%,-3.5%,-7.1%,-4.1%,-7.5%,2.0%,9.7%,11.4%
,Panel 1,,15.7%,-0.6%,83.6%,16.8%,28.8%,4.0%,19.0%,-2.6%,23.7%,14.9%,34.7%,38.7%,42.8%,-2.6%,23.9%,39.5%,24.3%,18.3%,20.1%,25.1%,27.4%
,Panel 5,,8.0%,70.1%,42.3%,29.1%,34.0%,37.3%,52.9%,47.0%,38.5%,20.4%,30.5%,24.4%,47.9%,47.0%,29.5%,37.5%,36.8%,31.2%,33.7%,30.3%,31.2%
,Panel 5,,6.5%,26.0%,13.1%,16.8%,14.0%,41.3%,110.5%,9.7%,18.3%,-1.3%,6.9%,12.4%,-1.9%,9.7%,8.5%,5.3%,-6.7%,-20.7%,-4.2%,4.9%,28.7%
,Panel 5,,7.1%,38.7%,24.3%,30.5%,26.6%,57.4%,130.1%,21.0%,30.9%,8.5%,18.1%,24.4%,2.4%,21.0%,19.8%,10.0%,-5.7%,-19.9%,-3.0%,8.8%,32.0%
,Panel 5,,0.5%,-98.9%,-99.6%,-99.6%,-99.9%,-99.7%,-99.4%,,-99.5%,-99.8%,-99.7%,-99.7%,-43.2%,,-99.7%,-39.1%,-20.0%,-28.1%,-13.7%,-12.0%,8.0%
,Panel 5,,2.1%,,,,,,,,,,,,-6.9%,,,-3.1%,-1.9%,-21.4%,-17.0%,-44.2%,-53.2%
,Panel 5,0.76,0.4%,16.4%,-3.6%,-17.3%,-12.0%,-12.1%,-4.6%,-12.5%,-6.8%,-7.4%,-10.9%,-6.4%,-8.7%,-9.0%,-8.6%,-6.0%,-2.0%,-6.1%,-6.9%,-7.9%,-10.7%
,Panel 5,,0.0%,,,,,,,,,,,-100.0%,,,-100.0%,-39.2%,-81.0%,-79.2%,17.3%,121.3%,
,Panel 5,,13.2%,94.9%,14.6%,3.2%,3.9%,11.3%,22.5%,8.4%,17.2%,0.2%,-4.8%,-3.5%,-6.2%,8.5%,-4.8%,-3.8%,-9.2%,-5.3%,-6.3%,-7.3%,-4.8%
,Panel 5,,15.7%,9.5%,-67.6%,-69.0%,-74.3%,-56.6%,-53.7%,-64.7%,-43.8%,-29.2%,-45.3%,-32.9%,-14.7%,-48.3%,-32.6%,-25.1%,-14.8%,-4.5%,1.5%,9.6%,-13.3%
,Panel 5,,16.7%,-50.2%,-37.6%,-35.3%,-44.3%,-37.3%,-40.7%,-42.2%,-39.5%,-32.7%,-26.8%,-20.6%,-17.6%,-38.3%,-21.7%,-16.5%,8.9%,-15.9%,-22.4%,-24.3%,-40.4%
,Panel 5,,10.4%,-66.8%,-41.3%,-60.5%,-46.6%,-54.1%,-35.3%,-53.3%,-42.4%,-36.1%,-39.0%,-30.1%,-33.0%,-44.4%,-34.0%,-23.7%,13.4%,-13.3%,-15.6%,-20.4%,-42.3%
,Panel 5,,1.9%,153.8%,8.8%,-55.0%,8.7%,-69.3%,-51.7%,-36.5%,-33.8%,-2.2%,-30.4%,-13.1%,-37.3%,-24.6%,-26.5%,-29.9%,,,,,
,Panel 5,,2.2%,-3.5%,1.2%,-18.5%,-13.4%,-10.0%,-9.3%,-12.2%,-8.0%,-5.7%,-8.1%,-5.8%,-6.0%,-8.8%,-6.6%,-1.6%,-5.4%,-12.3%,-12.4%,-13.4%,-10.3%
,Panel 5,,1.6%,46.3%,1.9%,-8.4%,-3.2%,-4.8%,3.7%,-4.2%,0.4%,-2.0%,-5.5%,-1.1%,-4.4%,-2.0%,-3.6%,-3.6%,-3.9%,-2.0%,-2.1%,-2.3%,0.1%
,Panel 3,2.00,18.1%,-9.1%,-8.3%,4.0%,-18.5%,-23.9%,-34.1%,-12.6%,-19.6%,6.2%,-6.7%,10.1%,-9.0%,-15.8%,2.3%,-8.0%,-6.7%,-11.1%,-3.0%,-7.4%,-11.8%
,Panel 1,1.73,18.0%,-29.0%,-20.8%,-2.0%,-18.1%,-2.8%,-34.4%,-14.2%,-16.5%,10.1%,-9.0%,11.1%,-13.3%,-15.4%,2.6%,-11.1%,-11.2%,-7.4%,-8.1%,-9.4%,-19.3%
,Panel 5,1.37,9.9%,-18.6%,-4.1%,-11.4%,0.8%,18.4%,-29.9%,-1.1%,-16.5%,-4.2%,4.6%,2.0%,-3.8%,-9.0%,0.8%,-1.5%,-10.6%,-12.9%,-14.3%,-20.7%,-19.1%
,Panel 5,,9.8%,-18.5%,-4.1%,-8.9%,1.3%,18.2%,-29.7%,-0.4%,-15.6%,-2.8%,5.4%,1.7%,-5.5%,-8.2%,1.6%,-1.6%,-10.8%,-13.5%,-14.6%,-20.4%,-18.9%
,Panel 5,,24.7%,,,-100.0%,-92.5%,139.4%,-78.2%,-87.3%,-71.7%,-67.5%,-62.5%,50.3%,349.2%,-76.2%,-51.5%,7.8%,16.9%,68.6%,6.2%,-44.6%,-32.3%
,Panel 1,,18.0%,-29.0%,-20.8%,-2.0%,-18.1%,-2.8%,-34.4%,-14.2%,-16.5%,10.1%,-9.0%,11.1%,-13.3%,-15.4%,2.6%,-11.1%,-11.2%,-7.4%,-8.1%,-9.4%,-19.3%
,Panel 5,0.95,0.8%,9.2%,20.3%,1.2%,-6.7%,16.8%,60.9%,6.9%,-5.8%,-3.7%,-8.7%,1.9%,-2.9%,9.2%,-1.3%,-2.0%,-0.2%,2.6%,4.2%,1.4%,-6.2%
,Panel 1,0.97,0.4%,10.9%,0.0%,-3.7%,-9.5%,37.2%,23.9%,6.6%,-15.4%,-11.0%,-8.4%,-6.8%,-9.6%,10.9%,-6.8%,-6.5%,-4.9%,-6.0%,-1.0%,-7.3%,-15.8%
,Panel 5,,2.2%,0.7%,0.8%,-4.0%,-33.4%,19.6%,-11.6%,-4.4%,-20.0%,-18.0%,-19.6%,-14.2%,1.7%,0.7%,-14.3%,-12.1%,-15.8%,9.0%,-13.3%,-19.8%,-17.9%
,Panel 5,,1.2%,10.2%,23.0%,1.7%,-3.6%,16.5%,72.6%,8.3%,-3.9%,-1.5%,-6.9%,3.9%,-3.4%,10.2%,0.5%,-0.7%,2.4%,1.7%,7.1%,4.9%,-4.0%
,Panel 5,,0.0%,29.5%,42.5%,3.8%,-0.9%,8.1%,-2.8%,-75.5%,12.5%,5.2%,16.5%,20.9%,23.9%,-75.5%,11.5%,11.5%,10.7%,15.2%,12.6%,25.0%,4.0%
,Panel 3,2.12,1.6%,0.2%,16.4%,-2.0%,-3.7%,-14.3%,10.7%,-1.5%,1.9%,0.6%,0.3%,3.5%,-0.5%,-0.2%,1.4%,1.0%,0.1%,-6.9%,-1.1%,1.3%,-0.4%
,Panel 5,2.69,0.9%,9.4%,22.1%,-0.4%,-0.5%,-7.6%,6.2%,2.4%,2.1%,1.2%,0.8%,2.2%,-0.3%,2.3%,1.4%,0.2%,-0.6%,-5.4%,-0.3%,0.8%,1.0%
,Panel 1,1.60,0.4%,-1.3%,12.8%,-2.0%,-4.8%,-25.5%,3.6%,-5.7%,-0.1%,-3.4%,-3.9%,-1.2%,-4.3%,-3.3%,-2.9%,-4.0%,-4.9%,-2.0%,-5.2%,-4.8%,-6.2%
,Panel 5,,4.2%,16.3%,31.4%,7.8%,3.7%,-0.7%,21.2%,9.7%,8.8%,5.5%,5.6%,4.3%,5.9%,9.3%,5.2%,8.6%,10.2%,3.4%,12.6%,10.1%,8.4%
,Panel 5,,0.7%,9.0%,21.5%,-0.9%,-0.8%,-8.0%,5.3%,2.0%,1.7%,1.0%,0.5%,2.1%,-0.6%,1.9%,1.1%,-0.2%,-1.2%,-5.9%,-0.9%,0.4%,0.6%
,Panel 3,1.00,0.6%,-5.2%,1.2%,-7.9%,-1.1%,-7.6%,5.2%,-6.7%,-2.2%,-2.0%,-11.4%,6.5%,-4.5%,-6.0%,-3.1%,-3.6%,-4.9%,-5.9%,-14.1%,-5.2%,-5.2%
,Panel 5,2.26,0.5%,-0.4%,5.0%,-10.1%,-6.0%,-10.9%,6.9%,-0.7%,-5.8%,-4.2%,-7.6%,-5.6%,-3.4%,1.1%,-5.9%,-5.4%,-6.0%,-8.9%,-16.8%,-11.6%,-7.7%
,Panel 1,1.89,0.0%,6.6%,-9.3%,-9.9%,-1.6%,-20.8%,13.9%,12.8%,-9.3%,0.8%,-7.8%,-5.9%,-3.5%,3.3%,-5.7%,-5.7%,-5.5%,-8.7%,-9.9%,-11.0%,-10.0%
,Panel 5,,0.4%,1.0%,5.7%,-8.9%,-4.5%,-9.4%,7.5%,0.4%,-4.6%,-3.1%,-6.4%,-4.9%,-2.3%,2.2%,-4.7%,-4.3%,-4.9%,-8.0%,-16.0%,-10.5%,-6.6%
,Panel 1,,0.0%,-54.7%,2.8%,-2.2%,13.7%,-37.2%,79.5%,-16.5%,-28.8%,13.0%,-47.1%,-23.4%,2.1%,-70.2%,-14.2%,-28.5%,-13.5%,-21.9%,-30.6%,-64.0%,-95.7%
,Panel 5,,10.0%,-8.4%,-13.1%,-16.9%,-16.6%,-18.4%,-1.2%,-13.9%,-16.7%,-10.9%,-14.6%,-15.2%,-16.4%,-15.2%,-13.5%,-15.0%,-12.5%,-9.0%,-10.1%,-10.2%,-12.5%
,Panel 3,,9.7%,-20.3%,-17.1%,-21.1%,-18.9%,-21.3%,-2.7%,-14.7%,-18.3%,-14.4%,-21.0%,-6.9%,-20.0%,-19.2%,-14.6%,-16.1%,-16.1%,-14.4%,-13.0%,-10.5%,-14.5%
,Panel 5,,6.2%,50.8%,105.6%,29.6%,20.3%,47.6%,53.0%,26.5%,52.0%,54.0%,40.5%,12.1%,15.3%,48.0%,36.8%,29.5%,14.7%,15.9%,16.7%,5.9%,3.0%
,Panel 5,,6.4%,38.1%,104.1%,29.7%,19.5%,42.6%,46.0%,-1.7%,48.9%,52.8%,36.5%,12.4%,23.9%,44.3%,34.5%,37.2%,20.3%,22.7%,24.6%,6.1%,2.5%
,Panel 5,,10.1%,-9.1%,-14.2%,-17.4%,-17.1%,-19.1%,-1.7%,-14.2%,-17.4%,-11.5%,-15.1%,-15.4%,-16.7%,-15.8%,-13.9%,-15.5%,-12.8%,-9.2%,-10.3%,-10.3%,-12.6%
,Panel 5,,10.1%,-9.0%,-13.9%,-17.3%,-16.9%,-19.0%,-1.8%,-14.0%,-17.3%,-11.4%,-14.5%,-14.8%,-16.1%,-15.7%,-13.6%,-14.8%,-12.2%,-8.8%,-10.1%,-10.3%,-12.6%
,Panel 3,1.32,7.7%,-26.9%,-18.1%,-24.4%,-8.1%,-8.4%,-21.7%,-16.9%,-17.5%,-4.3%,-12.8%,-10.5%,-10.6%,-17.2%,-9.5%,-10.9%,-13.5%,-12.7%,-6.6%,-7.3%,3.8%
,Panel 1,,7.2%,-42.5%,-20.3%,-39.0%,-31.2%,-18.9%,1.9%,-28.6%,-24.6%,-12.0%,-23.5%,-23.4%,-20.3%,-27.0%,-19.8%,-21.2%,-20.6%,-15.8%,-17.0%,-16.7%,-10.8%
,Panel 5,0.92,6.4%,-4.7%,-9.6%,-17.5%,-11.2%,-4.7%,23.5%,-10.2%,-18.0%,-3.7%,-8.9%,-10.7%,-8.9%,-14.1%,-7.7%,-8.8%,-14.9%,-13.7%,-10.6%,-10.1%,-3.1%
,Panel 5,,152.9%,112.3%,340.6%,-6.9%,68.1%,192.2%,248.4%,106.1%,108.2%,205.9%,531.7%,127.2%,114.5%,107.0%,259.9%,15.7%,-54.9%,-40.6%,-79.1%,-75.1%,-71.3%
,Panel 5,,5.5%,-13.8%,-14.0%,-22.8%,-18.2%,-15.5%,15.4%,-17.4%,-24.5%,-12.4%,-16.7%,-17.4%,-15.5%,-21.0%,-15.5%,-15.0%,-16.7%,-14.1%,-10.9%,-10.7%,-3.6%
,Panel 1,1.09,7.2%,-42.5%,-20.3%,-39.0%,-31.2%,-18.9%,1.9%,-28.6%,-24.6%,-12.0%,-23.5%,-23.4%,-20.3%,-27.0%,-19.8%,-21.2%,-20.6%,-15.1%,-15.9%,-15.4%,-9.7%
,Panel 3,1.06,7.2%,-9.2%,11.5%,-15.8%,-3.6%,6.2%,77.8%,1.8%,-1.6%,10.6%,-7.5%,3.3%,-5.6%,-5.8%,2.9%,-4.4%,0.0%,1.3%,-5.4%,3.3%,-2.5%
,Panel 5,0.93,2.2%,2.1%,9.1%,-4.5%,-11.0%,-25.9%,68.8%,-4.4%,-5.3%,-9.7%,-7.8%,-16.6%,-6.8%,1.3%,-7.7%,-9.9%,-3.0%,-0.4%,-2.8%,2.4%,-5.8%
,Panel 5,,2.3%,2.1%,8.9%,-4.4%,-11.0%,-26.0%,68.1%,-4.5%,-5.4%,-9.8%,-7.9%,-16.6%,-6.9%,1.2%,-7.8%,-10.1%,-3.0%,-0.4%,-2.7%,2.5%,-5.8%
,Panel 5,,7.6%,140.3%,11.9%,3.1%,-2.4%,20.1%,-3.3%,548.5%,10.1%,8.0%,15.8%,17.8%,13.7%,548.5%,11.4%,19.0%,19.2%,26.1%,32.5%,32.3%,26.5%
,Panel 5,,21.6%,0.5%,29.0%,-0.5%,-27.5%,29.2%,11.0%,64.7%,-1.6%,11.0%,65.1%,60.6%,28.4%,64.7%,22.5%,44.1%,8.5%,5.9%,-12.9%,-27.8%,-3.3%
,Panel 5,,6.8%,164.4%,10.3%,3.4%,0.2%,19.4%,-4.5%,768.4%,11.2%,7.7%,11.9%,14.6%,12.6%,768.4%,10.4%,17.2%,19.7%,27.6%,38.2%,39.3%,29.2%
,Panel 5,1.00,1.1%,2.7%,-3.7%,2.4%,-1.8%,-0.1%,7.8%,2.3%,-1.5%,1.3%,0.9%,-1.0%,2.7%,2.3%,0.2%,1.3%,3.7%,5.6%,3.5%,4.4%,1.4%
,Panel 5,,1.8%,20.5%,-4.2%,-11.6%,21.1%,-10.3%,-24.1%,-0.9%,-0.5%,-20.0%,-15.0%,-16.4%,2.8%,-0.9%,-12.6%,-10.8%,-18.9%,-4.7%,22.6%,13.1%,2.1%
,Panel 5,,4.1%,-3.3%,6.7%,5.3%,4.1%,14.8%,6.8%,3.9%,7.0%,3.0%,4.6%,10.2%,9.7%,3.9%,4.9%,9.0%,10.4%,12.7%,12.0%,12.7%,10.5%
,Panel 5,,0.8%,3.9%,-4.4%,2.6%,-2.2%,-1.5%,8.3%,2.1%,-2.1%,1.6%,1.0%,-1.7%,2.5%,2.1%,0.1%,0.9%,3.4%,5.4%,4.2%,4.6%,1.5%
,Panel 5,,2.9%,-24.9%,-19.2%,-17.7%,-8.9%,-15.4%,-6.2%,10.0%,-16.6%,-18.5%,-16.6%,-16.9%,-14.0%,10.0%,-17.2%,-14.3%,-8.3%,-10.4%,-33.8%,-22.9%,-23.9%
,Panel 5,0.95,4.0%,-3.8%,3.7%,9.5%,10.7%,18.9%,-11.1%,8.6%,10.7%,-0.4%,5.0%,10.1%,4.2%,8.6%,4.6%,8.6%,14.0%,16.6%,22.4%,11.9%,4.0%
,Panel 3,0.75,10.7%,-5.6%,-6.2%,-16.9%,-8.9%,-7.4%,6.0%,6.0%,-7.7%,-8.4%,-8.3%,7.1%,-3.3%,6.0%,-8.1%,2.6%,-1.2%,-4.6%,2.5%,-1.6%,-3.4%
,Panel 1,0.61,2.1%,-11.9%,-2.3%,-21.9%,-10.1%,-3.9%,-8.7%,-10.4%,-10.1%,-9.8%,-4.7%,-6.0%,-7.5%,-10.4%,-8.2%,-6.1%,-7.2%,-5.4%,-6.6%,-8.5%,-12.5%
,Panel 5,0.77,0.5%,-12.1%,-4.7%,8.5%,-27.5%,0.2%,-2.4%,-25.5%,-7.0%,-4.2%,-4.3%,-6.4%,-4.9%,-25.5%,-5.3%,-4.8%,-4.5%,-3.2%,-3.7%,-4.6%,-5.3%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,-84.9%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.5%,-12.1%,-4.7%,8.5%,-27.5%,0.2%,-2.4%,-25.5%,-7.0%,-4.2%,-4.3%,-6.4%,-4.9%,-25.5%,-5.3%,-4.8%,-4.5%,-3.1%,-3.6%,-4.4%,-5.1%
,Panel 3,2.77,1.7%,2.6%,6.5%,1.7%,3.7%,0.0%,4.4%,-3.4%,5.2%,-0.6%,-0.4%,12.4%,1.9%,2.6%,2.9%,4.7%,6.2%,5.7%,6.7%,7.6%,6.4%
,Panel 1,2.63,1.4%,-0.8%,2.2%,-0.5%,-3.9%,-17.6%,9.5%,1.9%,-5.4%,2.0%,-0.6%,-1.2%,0.5%,-1.9%,-1.3%,0.1%,1.3%,-1.6%,-1.9%,-3.1%,-2.8%
,Panel 5,2.58,0.7%,7.8%,10.4%,1.8%,2.8%,-2.9%,16.5%,3.9%,2.3%,5.6%,5.2%,3.1%,5.8%,9.9%,4.4%,5.1%,7.1%,3.8%,2.7%,4.1%,1.1%
,Panel 5,,2.8%,7.9%,32.0%,-0.6%,2.0%,-18.0%,107.9%,203.9%,2.3%,1.3%,-4.3%,13.5%,-21.6%,3.8%,0.1%,-2.7%,-8.9%,3.6%,-12.7%,-7.8%,5.4%
,Panel 5,,2.8%,7.9%,32.0%,-0.6%,2.0%,-18.0%,107.9%,203.9%,2.3%,1.3%,-4.3%,13.5%,-21.6%,3.8%,0.1%,-2.7%,-8.9%,3.6%,-12.7%,-7.8%,5.4%
,Panel 5,,1.6%,3.4%,7.4%,-4.3%,-3.1%,-7.1%,12.1%,1.4%,-2.3%,-0.5%,0.9%,-0.2%,1.5%,5.2%,-0.7%,0.9%,2.3%,-1.7%,-2.3%,-1.5%,-5.2%
,Panel 5,,1.7%,3.6%,7.5%,-4.2%,-3.0%,-6.9%,12.2%,1.5%,-2.1%,-0.2%,1.3%,0.1%,1.8%,5.4%,-0.4%,1.2%,2.6%,-1.4%,-2.2%,-1.4%,-5.1%
,Panel 5,,1.0%,13.9%,14.9%,13.3%,12.1%,2.9%,22.5%,6.8%,9.6%,14.0%,10.8%,7.2%,11.5%,16.6%,11.6%,10.6%,13.9%,13.5%,17.7%,17.5%,15.8%
,Panel 5,,1.0%,13.9%,14.9%,13.3%,12.1%,2.9%,22.5%,6.8%,9.6%,14.0%,10.8%,7.2%,11.5%,16.6%,11.6%,10.6%,13.9%,13.5%,17.7%,17.5%,15.8%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,46.5%,-100.0%,-100.0%,-100.0%,-100.0%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,46.5%,-100.0%,-100.0%,-100.0%,-100.0%
,Panel 1,,2.4%,-6.9%,-2.3%,-7.3%,-9.0%,-21.3%,6.1%,-6.7%,-10.3%,-4.7%,-5.1%,-5.0%,-4.8%,-8.4%,-6.7%,-4.3%,-3.3%,-5.0%,-5.6%,-7.7%,-8.3%
,Panel 1,,0.7%,4.1%,5.7%,4.9%,0.0%,-14.9%,12.1%,8.6%,-1.6%,7.1%,2.7%,1.5%,4.6%,3.3%,2.8%,3.4%,4.9%,2.1%,4.7%,3.4%,4.3%
,Panel 1,,1.4%,-0.8%,2.1%,-0.5%,-3.9%,-17.6%,9.5%,1.9%,-5.4%,2.0%,-0.6%,-1.2%,0.5%,-1.9%,-1.3%,0.1%,1.3%,-1.0%,0.0%,-1.7%,-1.5%
,Panel 1,,0.0%,,,,,,,,,,,,-100.0%,,,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-99.9%
,Panel 3,1.60,3.2%,-10.1%,6.2%,-13.6%,-12.0%,22.0%,-13.5%,-2.1%,-8.1%,1.6%,-3.4%,-2.0%,-5.2%,-4.8%,-1.6%,-3.9%,-4.9%,-4.4%,-8.8%,13.1%,-2.0%
,Panel 1,2.47,2.3%,13.0%,-5.8%,-21.4%,-3.3%,7.2%,11.6%,-4.6%,-7.1%,0.2%,-9.4%,-1.9%,-10.2%,-6.0%,-3.7%,-10.0%,-7.6%,-6.6%,-15.9%,4.1%,-7.3%
,Panel 5,2.44,1.0%,-1.4%,19.5%,-6.4%,-9.8%,13.2%,8.4%,2.0%,-11.7%,-3.2%,-5.6%,-2.6%,-7.2%,-4.6%,-3.6%,-5.4%,-4.7%,-7.7%,-10.8%,9.5%,0.4%
,Panel 5,,10.4%,10.6%,21.9%,24.8%,45.9%,57.0%,65.3%,-29.0%,44.0%,54.7%,48.4%,71.5%,49.8%,-29.0%,49.0%,59.4%,59.3%,93.0%,125.0%,173.2%,155.5%
,Panel 5,1.55,6.8%,3.8%,-7.5%,-6.9%,12.0%,75.6%,80.3%,,9.8%,3.1%,-3.6%,-11.8%,-5.6%,,3.4%,-3.3%,4.6%,-1.0%,6.6%,12.1%,8.1%
,Panel 3,1.55,4.9%,17.9%,-3.6%,3.4%,2.6%,50.1%,19.9%,22.3%,12.2%,-7.1%,-11.5%,14.4%,-5.9%,22.3%,-1.4%,3.6%,4.9%,-1.6%,14.1%,21.9%,20.3%
,Panel 1,2.15,1.6%,17.2%,-11.3%,-13.7%,11.1%,75.8%,102.7%,17.9%,6.0%,5.1%,-6.4%,-1.7%,-2.1%,17.9%,2.6%,1.0%,5.3%,0.8%,8.3%,9.8%,5.5%
,Panel 5,,24.8%,100.4%,-61.6%,-33.5%,,154.6%,239.2%,,-16.4%,25.9%,-44.4%,-33.8%,-18.2%,,-30.5%,-5.7%,12.8%,-13.5%,89.9%,1.8%,-6.3%
,Panel 5,,11.0%,-1.8%,-65.0%,1631.2%,,,400.2%,,-39.1%,90.4%,4.8%,14.6%,-15.7%,,0.6%,-10.5%,-9.2%,-56.8%,-53.9%,-20.6%,-39.3%
,Panel 5,,3.2%,20.1%,-1.0%,-9.4%,52.8%,83.4%,117.1%,,18.5%,-0.7%,-3.0%,-3.8%,7.7%,,5.6%,8.8%,11.1%,-1.2%,6.3%,16.7%,5.8%
,Panel 5,,26.2%,-50.5%,-31.1%,11.6%,31.5%,211.4%,7.7%,,34.1%,34.3%,2.3%,22.2%,2.1%,,24.7%,-1.5%,4.8%,-16.9%,32.8%,11.2%,15.4%
,Panel 5,,7.0%,4.9%,-10.0%,-9.3%,-6.5%,54.1%,77.6%,,2.7%,0.5%,-3.9%,-15.5%,-9.6%,,0.0%,-7.0%,0.9%,1.7%,5.9%,13.0%,10.4%
,Panel 5,,13.8%,-18.8%,-4.8%,137.4%,-35.6%,41.4%,21.9%,,10.7%,20.1%,-11.6%,-30.6%,-10.6%,,5.0%,-8.8%,21.4%,7.7%,-9.6%,8.0%,0.5%
,Panel 5,,126.5%,,57.0%,,,53.5%,484.3%,,88.7%,224.7%,,-60.8%,1.8%,,143.1%,16.6%,23.3%,18.1%,-73.0%,-7.6%,-1.7%
,Panel 1,,4.1%,13.6%,-11.6%,-12.6%,5.1%,125.4%,97.9%,13.5%,12.4%,3.0%,-7.9%,2.0%,-5.9%,13.5%,3.6%,-0.5%,4.2%,0.7%,10.2%,13.5%,6.2%
,Panel 1,,6.3%,27.8%,-10.9%,-16.4%,30.4%,-27.9%,105.2%,34.5%,-7.5%,8.9%,-3.4%,-11.8%,6.5%,34.5%,-1.9%,4.5%,6.2%,-2.1%,1.1%,-1.8%,2.2%
,Panel 1,,0.9%,17.0%,-10.8%,-15.2%,4.6%,-18.7%,223.8%,19.5%,-7.5%,48.4%,6.2%,-10.3%,12.3%,19.5%,9.7%,8.8%,34.0%,30.6%,22.8%,22.7%,13.8%
,Panel 5,,0.0%,-2.9%,0.9%,-8.8%,-5.4%,-11.1%,32.1%,2.0%,-5.9%,-1.3%,-5.6%,-10.3%,1.2%,2.0%,-4.3%,-5.1%,-5.5%,-15.0%,-8.8%,-13.9%,-15.6%
,Panel 5,,0.0%,-9.5%,-8.2%,-17.4%,-7.1%,-34.8%,24.2%,-14.8%,-16.9%,-9.1%,-11.9%,-19.3%,-12.5%,-14.8%,-12.8%,-14.9%,-14.2%,-19.8%,-16.3%,-18.3%,-18.4%
,Panel 5,,0.0%,-10.5%,-8.1%,-6.8%,-11.0%,-16.2%,18.1%,12.9%,-10.8%,-6.9%,-8.9%,-14.3%,-2.9%,12.9%,-8.8%,-6.7%,-8.5%,-29.0%,-19.3%,-24.3%,-16.6%
,Panel 5,,0.0%,-1.3%,3.0%,-7.6%,-4.6%,-6.5%,34.6%,2.8%,-3.8%,0.4%,-4.3%,-8.5%,3.6%,2.8%,-2.6%,-3.4%,-3.9%,-12.7%,-6.4%,-12.0%,-15.1%
,Panel 5,,26.0%,12.9%,,,,286.3%,-85.8%,32.1%,22.2%,-33.0%,-5.0%,-43.1%,-52.2%,32.1%,-10.1%,-36.2%,11.3%,-13.0%,-3.4%,25.7%,30.8%
